iteration,total_loss,policy_loss,value_loss,positions,positions_per_second,replay_size,black_wins,white_wins,draws
26,1.6347419744729996,1.2361442995071412,0.39859767362475396,1169,1.9626398988479523,29127,23,9,0
27,1.648737998008728,1.2445064336061478,0.4042315627634525,1058,2.1130600207765475,30185,20,12,0
28,1.648783757686615,1.243446066379547,0.40533769115805623,1033,2.0839744032367404,31218,25,7,0
29,1.6285021585226058,1.2284716707468033,0.40003048583865164,1036,2.173638830542453,32254,26,6,0
30,1.624313336610794,1.2285369849205017,0.3957763569056988,994,2.1768272595652793,33248,30,2,0
31,1.64013680934906,1.2347103989124297,0.4054264149069786,1169,2.1192949971324366,34417,23,9,0
32,1.6393641579151152,1.235420616865158,0.40394353851675985,1094,2.072825838989401,35511,22,10,0
33,1.6280460423231125,1.2274927532672881,0.4005532896518707,1125,2.1615178472044274,36636,23,9,0
34,1.6265831452608108,1.2288371282815933,0.3977460163831711,1000,2.2009737289717917,37636,26,6,0
35,1.625563315153122,1.2223923325538635,0.4031709837913513,966,2.2622005779762078,38602,26,6,0
36,1.6249232417345048,1.221211963891983,0.4037112782895565,965,2.387370548706202,39567,25,7,0
37,1.6158174401521683,1.220488572716713,0.3953288684785366,930,2.596882116215943,40497,26,6,0
38,1.6103873556852342,1.2147398883104323,0.395647464543581,913,2.3227799953976467,41410,27,5,0
39,1.6103739839792253,1.2154797166585922,0.39489426791667936,1064,2.151884103577643,42474,24,8,0
40,1.6138953602313995,1.2152752447128297,0.39862011551856996,1033,2.469479253681446,43507,23,9,0
41,1.6118044358491899,1.2197527551651002,0.39205167561769483,985,2.427063797560551,44492,25,7,0
42,1.6197199875116348,1.2187567204236984,0.4009632632136345,1021,2.3284459376992146,45513,27,5,0
43,1.6088927626609801,1.2164361613988877,0.3924566024541855,1022,2.1738972894187536,46535,28,4,0
44,1.6048181372880936,1.2095200848579406,0.39529804795980455,978,2.3987854568503755,47513,26,6,0
45,1.61162433385849,1.211782539486885,0.399841793179512,1206,2.1026191042622275,48719,26,6,0
46,1.6040027689933778,1.2099862307310105,0.39401653826236727,1119,2.1843121278527944,49838,23,9,0
47,1.6105934637784958,1.213455187678337,0.3971382786333561,1019,2.3195015248219324,50857,29,3,0
48,1.603142613172531,1.2117771416902543,0.39136546954512597,950,2.297124878529638,51807,24,8,0
49,1.6011099457740783,1.2090195059776305,0.3920904353260994,1041,2.207873756534768,52848,29,3,0
50,1.5879344069957733,1.202728990316391,0.38520541697740557,871,2.564952235423358,53719,27,5,0
51,1.5979575490951539,1.2103965944051742,0.3875609557330608,1145,1.9728529505287558,54864,21,11,0
52,1.5981170237064362,1.2092265802621842,0.38889044255018235,1058,2.1173116608199374,55922,24,8,0
53,1.5905801129341126,1.2051673930883409,0.3854127208888531,1038,2.2653125309612334,56960,28,4,0
54,1.5887015599012375,1.202951146364212,0.38575041592121123,956,2.526071494371622,57916,24,8,0
55,1.5896972650289536,1.2030227315425872,0.3866745312511921,1056,2.2869117709994775,58972,24,8,0
56,1.5908110111951828,1.2027674055099487,0.3880436074733734,1058,2.2226394321164102,60030,22,10,0
57,1.592236909866333,1.206804485321045,0.38543242439627645,1158,2.3182630705225966,61188,22,10,0
58,1.5915869212150573,1.2051547557115554,0.38643216624855997,1179,2.0104951687766395,62367,27,5,0
59,1.5945355600118638,1.2053999555110932,0.3891356000304222,1194,1.924103761026576,63561,26,6,0
60,1.5851045751571655,1.1978218603134154,0.3872827123105526,1009,2.092594117327421,64570,29,3,0
61,1.5836479878425598,1.2032901960611344,0.38035779058933256,996,2.440185623005997,65566,26,6,0
62,1.5894421118497848,1.2042344260215758,0.3852076885104179,1006,2.3900582980760423,66572,28,4,0
63,1.5855036443471908,1.2015063184499741,0.3839973229169846,929,2.4452231766220742,67501,25,7,0
64,1.5925128090381622,1.205342948436737,0.3871698625385761,1045,2.2836053996551384,68546,27,5,0
